ref	fullspecies	strain
NC_017316.1	Enterococcus_faecalis	Enterococcus_faecalis_OG1RF
NC_018221.1	Enterococcus_faecalis	Enterococcus_faecalis_D32
NC_019770.1	Enterococcus_faecalis	Enterococcus_faecalis_str._Symbioflor_1
NZ_CP004081.1	Enterococcus_faecalis	Enterococcus_faecalis_DENG1
NZ_CP008816.1	Enterococcus_faecalis	Enterococcus_faecalis_ATCC_29212
NZ_CP014949.1	Enterococcus_faecalis	Enterococcus_faecalis_LD33
NC_017960.1	Enterococcus_faecium	Enterococcus_faecium_DO
NC_021994.1	Enterococcus_faecium	Enterococcus_faecium_Aus0085
NZ_CP006030.1	Enterococcus_faecium	Enterococcus_faecium_T110
NZ_CP011281.1	Enterococcus_faecium	Enterococcus_faecium_E39
NZ_CP011828.1	Enterococcus_faecium	Enterococcus_faecium_UW8175
NC_020207.1	Enterococcus_faecium	Enterococcus_faecium_NRRL_B-2354
NZ_CP012522.1	Enterococcus_faecium	Enterococcus_faecium_64/3
NZ_CP013009.1	Enterococcus_faecium	Enterococcus_faecium_UW7606x64/3 TC1
NZ_CP013994.1	Enterococcus_faecium	Enterococcus_faecium_6E6
NZ_LN999844.1	Enterococcus_faecium	Enterococcus_faecium_EFE10021
NZ_MJEF01000001.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_strain_F1129E_107_ENT22
NZ_ASVX01000001.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_ATCC_49996
NZ_BCPT01000001.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_NBRC_100478
NZ_CP014067.1	Enterococcus_gallinarum	Enterococcus_gallinarum_FDAARGOS_163
NZ_FNFS01000041.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_strain_NLAE-zl-C414
NZ_JXKK01000001.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_strain_DSM_20680
NZ_KB946260.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_ATCC_49996
NZ_MUBE01000001.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_strain_PAVET15
NZ_KE350225.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_14-MB-W-14
NZ_FOMP01000028.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_strain_NLAE-zl-G268
NZ_GG670403.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_EC30
NZ_GG692832.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_EC10
NZ_MJEG01000001.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_strain_F1129F_46_ENT23
NZ_GL872323.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_ATCC_12755
NZ_JNLR01000001.1	Enterococcus_gallinarum	Enterococcus_gallinarum_SKF1
NZ_MJED01000001.1	Enterococcus_gallinarum	Enterococcus_gallinarum_strain_F1213F_228_ENT20
NZ_BCQE01000001.1	Enterococcus_gallinarum	Enterococcus_gallinarum_NBRC_100675
NZ_CM003134.1	Enterococcus_gallinarum	Enterococcus_gallinarum_A6981
NZ_GG670297.1	Enterococcus_gallinarum	Enterococcus_gallinarum_EG2
NZ_JXKP01000001.1	Enterococcus_gallinarum	Enterococcus_gallinarum_strain_DSM_24841
NZ_NGMQ01000001.1	Enterococcus_gallinarum	Enterococcus_gallinarum_strain_2A8_DIV0586
NC_004668.1	Enterococcus_faecalis	Enterococcus_faecalis_V583
NC_017022.1	Enterococcus_faecium	Enterococcus_faecium_Aus0004
NC_020995.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_ASM15735v2
NZ_AKCC01000001.1	Enterococcus_casseliflavus	Enterococcus_casseliflavus_EC20
